Comune,Store Name,Address,Store Link
Gorgonzola,Esselunga di Gessate,"VIA DELLA FILANDA, 1, 20060 GESSATE (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-gessate.ges.html
Pisa,Esselunga di Pisa,"PISA - VIA CISANELLO, 56124 PISA (PI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-pisa.isa.html
Stresa,Esselunga di Verbania,"VIALE AZARI, 94, 28922 VERBANIA (VB)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-verbania.vep.html
Montorfano,Esselunga di Lipomo,"VIA PROVINCIALE 1, 22030 LIPOMO (CO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-lipomo.omo.html
Montorfano,Esselunga di Como - via Ambrosoli,"VIA CARLONI (ANG. VIA AMBROSOLI), 22100 COMO (CO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-como---via-ambrosoli.com.html
Corsico,Esselunga di Buccinasco,"VIA DEGLI ALPINI, 20090 BUCCINASCO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-buccinasco.buc.html
Corsico,Esselunga di via Lorenteggio,"VIA LORENTEGGIO, 219, 20147 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-lorenteggio-milano.lor.html
Corsico,Esselunga di Corsico,"VIALE DELLE INDUSTRIA, 4, 20094 CORSICO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-corsico.cco.html
Corsico,Esselunga di via Forze Armate,"VIA DELLE FORZE ARMATE (ANG. VIA VAL DEVERO), 199, 20152 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-forze-armate-milano.far.html
Corsico,Esselunga di viale Cassala,"VIALE CASSALA, 22, 20143 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-cassala-milano.css.html
Corsico,Esselunga di viale Famagosta,"VIALE FAMAGOSTA, 56, 20142 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-famagosta-milano.fam.html
Corsico,Esselunga di via Novara,"VIA NOVARA, 86, 20153 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-novara-milano.sir.html
Corsico,Esselunga di via Morgantini,"VIA MORGANTINI, 15, 20148 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-morgantini-milano.mor.html
Corsico,Esselunga di via Washington,"VIA WASHINGTON,53, 20146 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-washington-milano.was.html
Corsico,Esselunga di via Solari,"VIA SOLARI, 29, 20144 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-solari-milano.soa.html
Corsico,laESSE MILANO CORSO VERCELLI,"Via Cimarosa 4, angolo Corso Vercelli, 20144 Milano (MI)",https://www.esselunga.it/it-it/negozi/negozio.laesse-milano-corso-vercelli.elir.html
Corsico,Esselunga di viale Papiniano,"VIALE PAPINIANO, 27, 20123 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-papiniano-milano.pap.html
Corsico,Esselunga di via Monte Rosa,"VIA MONTE ROSA (ANG. VIA DOMENICHINO), 20149 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-monte-rosa-milano.ros.html
Corsico,Esselunga di viale Vigliani,"VIALE VIGLIANI, 59, 20148 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-vigliani-milano.vig.html
Corsico,laESSE MILANO TEODORICO,"Viale Teodorico n. 18 - Milano, 20149 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.laesse-milano-teodorico.teor.html
Corsico,Esselunga di Settimo Milanese,"VIA GRAMSCI, 115, 20019 SETTIMO MILANESE (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-settimo-milanese.set.html
Corsico,Esselunga di via Losanna,"VIA LOSANNA, 20/22, 20154 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-losanna-milano.los.html
Corsico,Esselunga di Rozzano,"VIA MANZONI, 5, 20089 ROZZANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-rozzano.roz.html
Corsico,Esselunga di via Mac Mahon,"VIA MAC MAHON, 128, 20155 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-mac-mahon-milano.mac.html
Caravaggio,Esselunga di Treviglio,"Via Caravaggio n. 37 - Treviglio (BG), 24047 Treviglio (BG)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-treviglio.tev.html
Buggiano,Esselunga di Montecatini,"VIA PROVINCIALE LUCCHESE, 45, 51016 MONTECATINI TERME (PT)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-montecatini-montecatini-terme.mon.html
Buggiano,Esselunga di Montecatini Nievoletta,"VIA GENTILE 2/A , 51016 MONTECATINI TERME (PT)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-montecatini-nievoletta-montecatini-terme.mot.html
Buggiano,Esselunga di Pescia,"VIALE MARCONI, 51017 PESCIA (PT)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-pescia.pes.html
Melegnano,Esselunga di San Giuliano,"VIA L. TOLSTOJ (ANG. VIA EMILIA), 20098 SAN GIULIANO MILANESE (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-san-giuliano-san-giuliano-milanese.giu.html
Melegnano,Esselunga di San Donato Milanese,"VIA DELL'UNIONE EUROPEA, 8, 20097 SAN DONATO MILANESE (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-san-donato-milanese.don.html
Melegnano,Esselunga di Pantigliate,"VIA VECCHIA PAULLESE , 15, 20090 PANTIGLIATE (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-pantigliate.pan.html
Sumirago,Esselunga di Gallarate,"VIA PEGORARO 2/C, 21013 GALLARATE (VA)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-gallarate.gal.html
Sumirago,Esselunga di Varese Malerba,"VIALE GASPAROTTO, 77, 21100 VARESE (VA)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-varese-malerba.eva.html
Sumirago,Esselunga di viale Borri,"VIALE BORRI (ANG. VIA COLONNA), 21100 VARESE (VA)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-borri-varese.vab.html
Cressa,Esselunga di Borgomanero,"VIALE KENNEDY, 4, 28021 BORGOMANERO (NO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-borgomanero.ero.html
Stezzano,Esselunga di Stezzano,"VIA GUZZANICA 60/62, 24040 STEZZANO (BG)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-stezzano.ste.html
Stezzano,Esselunga di via San Bernardino,"VIA SAN BERNARDINO (ANG. VIA SPINO), 24126 BERGAMO (BG)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-san-bernardino-bergamo.sbe.html
Stezzano,Esselunga di Curno,"VIA BERGAMO, 48, 24035 CURNO (BG)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-curno.cur.html
Stezzano,Esselunga della Celadina,"VIA BORGO PALAZZO, 217, 24125 BERGAMO (BG)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-della-celadina-bergamo.bec.html
Stezzano,Esselunga di via Corridoni,"VIA CORRIDONI, 30, 24100 BERGAMO (BG)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-corridoni-bergamo.ber.html
Poggio a Caiano,Esselunga Leonardo da Vinci,"via Fiorentina, 1, 59100 PRATO (PO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-leonardo-da-vinci-prato.leo.html
Paderno Dugnano,Esselunga di Cusano Milanino,"Viale Unione n. 2, 20095 CUSANO MILANINO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-cusano-milanino.cum.html
Paderno Dugnano,Esselunga di Varedo,"VIA PASTRENGO, 111, 20814 VAREDO (MB)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-varedo.edo.html
Paderno Dugnano,Esselunga di Bresso,"VIA XXV APRILE, 20091 BRESSO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-bresso.ess.html
Paderno Dugnano,Esselunga di Desio,"VIA CARAVAGGIO (EX VIA TOGLIATTI), 1, 20832 DESIO (MB)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-desio.des.html
Paderno Dugnano,Esselunga di Baranzate,"VIA STELLA ROSA, 20021 BARANZATE (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-baranzate.bab.html
Paderno Dugnano,Esselunga di Affori,"VIA PELLEGRINO ROSSI, 63, 20161 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-affori-milano.aff.html
Paderno Dugnano,Esselunga di viale Suzzani,"VIALE SUZZANI, 221, 20162 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-suzzani-milano.suz.html
Paderno Dugnano,EsselungaLab MILANO INNOVATION DISTRICT,"Viale Decumano, 39, 20157 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselungalab-milano-innovation-district.minr.html
Paderno Dugnano,Esselunga di Milano Certosa,"VIA PALIZZI, 69, 20157 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-milano-certosa.mic.html
Paderno Dugnano,Esselunga di viale Zara,"VIALE ZARA, 123, 20159 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-zara-milano.zar.html
Senna Comasco,Esselunga di Como Camerlata,"VIA PASQUALE PAOLI 6, 22100 COMO (CO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-como-camerlata.ata.html
Pistoia,Esselunga di Pistoia,"VIALE MATTEOTTI, 15, 51100 PISTOIA (PT)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-pistoia.oia.html
Pistoia,Esselunga di Porta Nuova,"VIA PORTA NUOVA, 1, 51100 PISTOIA (PT)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-porta-nuova-pistoia.pit.html
Novara,Esselunga di Novara,"CORSO VERCELLI, 102, 28100 NOVARA (NO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-novara.nov.html
Novara,Esselunga di corso della Vittoria,"VIA MARIO PAVESI, 7, 28100 NOVARA (NO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-corso-della-vittoria-novara.non.html
Soliera,Esselunga di Soliera,"via Modena Carpi 250 - località Appalto, 41019 SOLIERA (MO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-soliera.app.html
Cislago,Esselunga di Saronno,"VIA NOVARA, 50/52, 21047 SARONNO (VA)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-saronno.onn.html
Cislago,Esselunga del Sempione,"GALLERIA CANTONI 2/4, 20025 LEGNANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-del-sempione-legnano.leg.html
Pettinengo,Esselunga di Biella,"VIA LAMARMORA, 5/A, 13900 BIELLA (BI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-biella.bie.html
Pettinengo,Esselunga di Quaregna,"VIA MARTIRI DELLA LIBERTA', 1, 13854 QUAREGNA (BI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-quaregna.qua.html
Settimo Milanese,Esselunga di Cascina Merlata,"via Gottlieb Wilhelm Daimler n. 61, 20151 MILANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-cascina-merlata-milano.met.html
Settimo Milanese,Esselunga di Rho,"CORSO EUROPA (ANG. VIA DI GIACOMO), 20017 RHO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-rho.rho.html
Villasanta,Esselunga di viale Libertà,"VIALE LIBERTA' (ANG. VIALE STUCCHI), 20900 MONZA (MB)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-libert%C3%A0-monza.onz.html
Villasanta,Esselunga di Arcore,"VIA FERRUCCIO GILERA, 20862 ARCORE (MB)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-arcore.arc.html
Villasanta,Esselunga di via Buonarroti,"VIA BUONARROTI, 20900 MONZA (MB)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-buonarroti-monza.buo.html
Villasanta,Esselunga di Macherio,"VIA VOLTA (ANG.VIA F.LLI CERVI), 20846 MACHERIO (MB)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-macherio.che.html
Villasanta,Esselunga di Vimercate,"VIA FALCONE E BORSELLINO, 6, 20871 VIMERCATE (MB)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-vimercate.vim.html
Villasanta,Esselunga di San Fruttuoso,"VIA BREMBO, 4 - LOCALITA' SAN FRUTTUOSO, 20900 MONZA (MB)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-san-fruttuoso-monza.fru.html
Villasanta,Esselunga di Cologno Monzese,"VIALE LOMBARDIA, 111, 20093 COLOGNO MONZESE (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-cologno-monzese.gno.html
Fino Mornasco,Esselunga di Fino Mornasco,"VIALE RISORGIMENTO, 34, 22073 Fino Mornasco (CO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-fino-mornasco.fom.html
Briosco,Esselunga di Giussano,"VIA POLA - LOCALITA' PAINA, 20833 GIUSSANO (MB)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-giussano.uss.html
Briosco,Esselunga di Seregno,"VIALE DELLA REPUBBLICA (ANG. VIA MONTELLO), 20831 SEREGNO (MB)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-seregno.sva.html
Bisuschio,Esselunga di Induno Olona,"VIA RONCHETTI, 20, 21056 INDUNO OLONA (VA)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-induno-olona.ind.html
Lecco,Esselunga di Lecco,"VIA B. BUOZZI, 15, 23900 LECCO (LC)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-lecco.lec.html
Brescia,Esselunga della Volta,"VIA DELLA VOLTA, 25100 BRESCIA (BS)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-della-volta-brescia.lav.html
Brescia,Esselunga di via Milano,"VIA MILANO (ANG. VIA PASCOLI), 25126 BRESCIA (BS)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-via-milano-brescia.bre.html
Brescia,Esselunga di Triumplina,"Via Triumplina, 41, 25123 Brescia (BS)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-triumplina-brescia.tri.html
San Giorgio su Legnano,Esselunga di viale Sabotino,"LEGNANO (MI) - VIA NOVARA 29/31, 20025 LEGNANO (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-viale-sabotino-legnano.sab.html
San Giorgio su Legnano,Esselunga di Castellanza,"VIALE BORRI (ANG. VIA PIEMONTE), 21053 CASTELLANZA (VA)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-castellanza.cza.html
San Giorgio su Legnano,Esselunga di Olgiate Olona,"VIA PER FAGNANO OLONA, 10, 21057 OLGIATE OLONA (VA)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-olgiate-olona.olo.html
Rivoli,Esselunga di Rivalta,"VIA TORINO, 50, 10040 RIVALTA DI TORINO (TO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-rivalta-rivalta-di-torino.riv.html
Pogliano Milanese,Esselunga di Lainate,"VIA RE UMBERTO I, 20020 LAINATE (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-lainate.lai.html
Villa d'Adda,Esselunga di Calco,"via Nazionale 3/A, 23885 CALCO (LC)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-calco.cal.html
Vinovo,Esselunga di Moncalieri,"VIA SESTRIERE, 13/1, 10024 MONCALIERI (TO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-moncalieri.onc.html
Vinovo,Esselunga di corso Traiano,"CORSO TRAIANO, 131 , 10127 TORINO (TO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-corso-traiano-torino.tra.html
Magenta,Esselunga di Corbetta,"VIA SETTEMBRINI (ANG. VIA NIEVO), 20011 CORBETTA (MI)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-corbetta.bet.html
Lumezzane,Esselunga di Sarezzo,"PIAZZALE EUROPA, 40, 25068 SAREZZO (BS)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-sarezzo.sar.html
Padenghe sul Garda,Esselunga di Desenzano,"VIA MANTOVA, 1, 25015 DESENZANO DEL GARDA (BS)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-desenzano-desenzano-del-garda.ese.html
Cuvio,Esselunga di Masnago,"VIA CARACCIOLO (ANG. VIA CAMPILUNGHI), 21100 VARESE (VA)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-masnago-varese.ago.html
Oggiono,Esselunga di Barzanò,"VIA IV NOVEMBRE, 24, 23891 BARZANÒ (LC)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-barzan%C3%B2.baz.html
Rivalta di Torino,Esselunga di Torino Porta Nuova,"VIA SACCHI C/O STAZIONE PORTA NUOVA, 10125 TORINO (TO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-torino-porta-nuova.top.html
Rivalta di Torino,Esselunga di Corso Bramante,"Corso Bramante, 21, 10134 Torino (TO)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-corso-bramante-torino.bra.html
Stradella,Esselunga di Broni,"QUARTIERE PIAVE, 53, 27043 BRONI (PV)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-broni.bro.html
Aicurzio,Esselunga di Cernusco Lombardone,"VIA CAVALIERI VITTORIO VENETO, 117, 23870 CERNUSCO LOMBARDONE (LC)",https://www.esselunga.it/it-it/negozi/negozio.esselunga-di-cernusco-lombardone.clo.html
